latitude,longitude,price
40.69747383,-73.94952982,$85.00 
40.68164673,-73.93541596,$150.00 
40.6841914,-73.92216591,$135.00 
40.68336279,-73.95420583,$100.00 
40.68842884,-73.93678253,$179.00 
40.68480158,-73.92672462,$110.00 
40.68339036,-73.94219728,$135.00 
40.68445606,-73.95467807,$200.00 
40.6831225,-73.92506855,$240.00 
40.68774772,-73.94144386,$125.00 
40.69447178,-73.94516351,$150.00 
40.68281304,-73.93524182,$115.00 
40.68404287,-73.93512122,$120.00 
40.68363304,-73.941417,$120.00 
40.68485873,-73.94394803,$130.00 
40.68210653,-73.92973328,$220.00 
40.6794293,-73.94435414,$110.00 
40.68750149,-73.92541566,$120.00 
40.69111528,-73.93899988,$165.00 
40.69235187,-73.93835533,$100.00 
40.68349986,-73.93811623,$95.00 
40.68064805,-73.93644359,$80.00 
40.68605173,-73.93159394,$129.00 
40.69144024,-73.93792694,$325.00 
40.6928878,-73.95892353,$176.00 
40.6883651,-73.92560481,$399.00 
40.68297558,-73.9472781,$105.00 
40.68753194,-73.9585075,$139.00 
40.68079614,-73.9309202,$110.00 
40.61238143,-73.99804686,$105.00 
40.68910365,-73.98798377,$125.00 
40.68597727,-73.98004162,$250.00 
40.68563714,-73.9840827,$136.00 
40.68932487,-73.9908205,$225.00 
40.65873616,-73.9610796,$70.00 
40.66042307,-73.96233649,$160.00 
40.65769019,-73.96039239,$83.00 
40.65956385,-73.95953365,$109.00 
40.65586909,-73.9548214,$63.00 
40.65607913,-73.96069467,$75.00 
40.81099748,-73.91963697,$99.00 
40.69526253,-73.99240383,$150.00 
40.6901599,-73.9931053,$149.00 
40.69205687,-73.99409792,$130.00 
40.67556474,-73.90476277,$50.00 
40.69380421,-73.92561657,$100.00 
40.68773682,-73.91549758,$110.00 
40.69714659,-73.92242651,$60.00 
40.69553514,-73.93165591,$150.00 
40.70415641,-73.92022109,$150.00 
40.69848685,-73.93684938,$99.00 
40.70272386,-73.9300497,$140.00 
40.70115632,-73.92733332,$100.00 
40.68845328,-73.91985388,$399.00 
40.6929561,-73.92079265,$200.00 
40.70817801,-73.9225637,$150.00 
40.70460536,-73.92618794,$120.00 
40.70590785,-73.91984191,$120.00 
40.6876654,-73.91260709,$100.00 
40.69878926,-73.93252333,$94.00 
40.70215259,-73.93578066,$120.00 
40.69503563,-73.92708771,$100.00 
40.71704755,-73.99187398,$160.00 
40.71568627,-73.99173644,$199.00 
40.71889662,-73.99653885,$145.00 
40.71840795,-73.99639852,$179.00 
40.7157728,-73.99144337,$500.00 
40.71726842,-73.99366539,$195.00 
40.718184,-73.99639117,$80.00 
40.71403535,-73.99339594,$188.00 
40.71431229,-73.99141924,$250.00 
40.71692868,-73.99141581,$215.00 
40.71655279,-73.9920288,$499.00 
40.63277378,-73.89978297,$160.00 
40.64287313,-73.90227527,$90.00 
40.68002424,-73.99626154,$125.00 
40.68327608,-73.99846011,$250.00 
40.82199648,-73.84820278,$300.00 
40.73775703,-73.99324845,$225.00 
40.74552332,-74.00148026,$95.00 
40.74351429,-73.99624133,$150.00 
40.74541149,-74.00415705,$220.00 
40.74677595,-74.00148115,$140.00 
40.74944122,-74.00578281,$250.00 
40.745066,-73.99451771,$175.00 
40.75058615,-73.9962881,$275.00 
40.75043901,-73.99819678,$174.00 
40.73621031,-73.99298268,$120.00 
40.74639796,-73.99964982,$239.00 
40.75062324,-73.99685847,$199.00 
40.74255627,-73.99749145,$250.00 
40.73703734,-73.99519543,$199.00 
40.74266933,-73.99915464,$195.00 
40.74858688,-73.99774747,$175.00 
40.74417631,-73.99868471,$200.00 
40.7392687,-73.99833241,$220.00 
40.74081262,-74.00296309,$180.00 
40.73907207,-73.99943317,$250.00 
40.73922869,-73.99826733,$275.00 
40.74735344,-73.9997399,$450.00 
40.74699676,-74.00136319,$250.00 
40.75019594,-74.00272457,$160.00 
40.73974025,-74.00087935,$249.00 
40.74387166,-74.00134428,$250.00 
40.7442979,-73.99723709,$150.00 
40.74140668,-74.00184527,$199.00 
40.74245941,-74.00354573,$100.00 
40.73800996,-73.99384913,$499.00 
40.74155968,-74.00036608,$150.00 
40.73929541,-73.99609182,$215.00 
40.71226548,-74.00488878,$225.00 
40.71663376,-74.00231175,$80.00 
40.68653192,-73.964119,$110.00 
40.68522515,-73.96753,$289.00 
40.68714506,-73.96432567,$75.00 
40.68544953,-73.96212753,$150.00 
40.69243953,-73.96501018,$130.00 
40.68623336,-73.96754536,$220.00 
40.68606499,-73.96047186,$114.00 
40.69373939,-73.96727354,$120.00 
40.69289304,-73.96701066,$150.00 
40.681408,-73.96267905,$225.00 
40.6912965,-73.96098682,$113.00 
40.6825238,-73.96664146,$100.00 
40.68181651,-73.96738766,$200.00 
40.69717057,-73.96588679,$120.00 
40.68836256,-73.99762732,$285.00 
40.68785106,-73.99181169,$145.00 
40.66460234,-73.94071206,$100.00 
40.66788696,-73.94350919,$100.00 
40.67045845,-73.94156247,$105.00 
40.67070909,-73.94293521,$300.00 
40.67483055,-73.91463762,$50.00 
40.67682898,-73.95620405,$150.00 
40.6699642,-73.94989162,$170.00 
40.68033528,-73.96150471,$279.00 
40.67760496,-73.93503752,$271.00 
40.67218786,-73.92168151,$75.00 
40.67476783,-73.94960535,$125.00 
40.67497934,-73.95777089,$200.00 
40.67341513,-73.95609537,$300.00 
40.67060141,-73.96025604,$72.00 
40.67721876,-73.95005117,$155.00 
40.67391421,-73.94039426,$175.00 
40.67125502,-73.94435954,$150.00 
40.6704216,-73.95607855,$100.00 
40.6725683,-73.96074981,$112.00 
40.67441275,-73.9237078,$60.00 
40.67637164,-73.95755008,$125.00 
40.67544293,-73.95654957,$80.00 
40.67808331,-73.94795565,$120.00 
40.67629104,-73.9620807,$130.00 
40.67780416,-73.96320546,$200.00 
40.66646267,-73.93604663,$105.00 
40.67902785,-73.8855907,$75.00 
40.69876684,-73.98961375,$165.00 
40.6959399,-73.98374593,$195.00 
40.76167878,-73.86129848,$68.00 
40.75729985,-73.87605941,$110.00 
40.75794122,-73.87669801,$155.00 
40.64467507,-73.94218592,$94.00 
40.66123485,-73.93428033,$85.00 
40.63785704,-73.94432618,$105.00 
40.63395107,-73.94714719,$100.00 
40.79428344,-73.93272282,$100.00 
40.79746643,-73.93559475,$105.00 
40.79929322,-73.94605471,$350.00 
40.79685887,-73.94589917,$199.00 
40.78767435,-73.94813074,$350.00 
40.79538396,-73.94716421,$180.00 
40.79479613,-73.93456647,$264.00 
40.79449989,-73.94297733,$90.00 
40.7235021,-73.97962989,$200.00 
40.7294987,-73.98623218,$230.00 
40.72365319,-73.97896316,$280.00 
40.72582309,-73.98859892,$150.00 
40.72223766,-73.98405878,$249.00 
40.72982654,-73.98877384,$127.00 
40.72949628,-73.98398257,$100.00 
40.7262622,-73.98940412,$149.00 
40.73291521,-73.98830783,$315.00 
40.73003294,-73.98363769,$180.00 
40.72541148,-73.98724699,$200.00 
40.73076047,-73.98246951,$205.00 
40.7285279,-73.98783606,$199.00 
40.72268385,-73.98194438,$120.00 
40.726992,-73.97894351,$199.00 
40.72244554,-73.98412984,$130.00 
40.72697045,-73.98071927,$210.00 
40.73065752,-73.98148798,$170.00 
40.72751957,-73.98431537,$130.00 
40.72982087,-73.9802557,$170.00 
40.72588171,-73.98598413,$127.00 
40.72594921,-73.98218322,$150.00 
40.72735857,-73.9784032,$175.00 
40.72199825,-73.98302087,$160.00 
40.7300899,-73.98841467,$129.00 
40.72417044,-73.98390732,$300.00 
40.72547182,-73.98716952,$100.00 
40.72312324,-73.98254511,$175.00 
40.72808585,-73.98187824,$299.00 
40.72912463,-73.97854317,$390.00 
40.72443498,-73.98315495,$170.00 
40.72981006,-73.98009907,$190.00 
40.72963412,-73.98146886,$415.00 
40.72722696,-73.9846632,$145.00 
40.72316273,-73.97706116,$400.00 
40.72555858,-73.98503513,$205.00 
40.73200729,-73.98638756,$199.00 
40.70711805,-74.00196364,$249.00 
40.7069754,-74.01383387,$140.00 
40.71061483,-74.00998128,$400.00 
40.70675673,-74.00789113,$250.00 
40.70493213,-74.01035916,$229.00 
40.70863902,-74.01275595,$225.00 
40.70663476,-74.01298063,$249.00 
40.65003333,-73.95999562,$80.00 
40.74258699,-73.98885941,$160.00 
40.74058423,-73.98498635,$350.00 
40.75553196,-73.833065,$39.00 
40.66724086,-73.99328155,$90.00 
40.72143034,-73.85521794,$99.00 
40.72068539,-73.85181224,$160.00 
40.72307581,-73.83964043,$120.00 
40.69766906,-73.97445196,$161.00 
40.68661493,-73.97054123,$225.00 
40.68506194,-73.97363139,$126.00 
40.68528376,-73.97528025,$175.00 
40.68758848,-73.97588288,$185.00 
40.69250437,-73.97143037,$154.00 
40.68743546,-73.97470085,$275.00 
40.69477014,-73.97257886,$119.00 
40.68841784,-73.9725378,$149.00 
40.6899588,-73.97855329,$450.00 
40.73873718,-73.98571109,$200.00 
40.73554352,-73.98854556,$169.00 
40.73686789,-73.98917735,$110.00 
40.73598139,-73.98390558,$279.00 
40.73833613,-73.98230096,$135.00 
40.77890459,-73.90688293,$110.00 
40.77902817,-73.91070906,$100.00 
40.77737701,-73.92203588,$199.00 
40.7811476,-73.90883099,$95.00 
40.68791629,-73.83752236,$79.00 
40.68559406,-73.84959598,$99.00 
40.68345386,-73.83377822,$125.00 
40.77349008,-73.92648387,$119.00 
40.77163911,-73.92028221,$98.00 
40.77030381,-73.93306068,$140.00 
40.76501004,-73.91929239,$90.00 
40.75691292,-73.9287944,$275.00 
40.76424051,-73.92400978,$75.00 
40.76722367,-73.92203163,$135.00 
40.75993623,-73.91118769,$75.00 
40.77181714,-73.93129497,$130.00 
40.75880142,-73.91761772,$190.00 
40.62803218,-74.02662079,$120.00 
40.77774472,-73.78375648,$189.00 
40.68450512,-73.94915153,$865.00 
40.6859169,-73.93980299,$75.00 
40.67848474,-73.91542973,$85.00 
40.6886351,-73.92130261,$75.00 
40.68294321,-73.92671951,$138.00 
40.68842712,-73.92536305,$125.00 
40.68696519,-73.94505999,$143.00 
40.7389153,-73.98921822,$249.00 
40.58023073,-74.10725202,$80.00 
40.70367597,-73.8926611,$100.00 
40.64154855,-73.97504394,$84.00 
40.72318297,-73.94930589,$220.00 
40.72526583,-73.95015712,$174.00 
40.7315368,-73.95485273,$159.00 
40.72670373,-73.9401331,$115.00 
40.72310031,-73.94054249,$125.00 
40.72331542,-73.95180445,$165.00 
40.72211668,-73.94254324,$100.00 
40.72102118,-73.94807647,$175.00 
40.72873289,-73.9477489,$350.00 
40.73171057,-73.95491428,$165.00 
40.73729687,-73.95323281,$199.00 
40.72239409,-73.94604869,$150.00 
40.72829332,-73.94356147,$150.00 
40.73396401,-73.95716699,$169.00 
40.72353249,-73.94999509,$230.00 
40.73598587,-73.95604331,$160.00 
40.72942148,-73.95291398,$120.00 
40.73386278,-73.95873405,$200.00 
40.72453099,-73.95528587,$195.00 
40.72953213,-73.99956537,$208.00 
40.73117309,-73.99774837,$375.00 
40.72921393,-74.00101216,$275.00 
40.7343904,-73.99316141,$240.00 
40.72869745,-74.00180718,$150.00 
40.72839916,-73.998123,$193.00 
40.73157504,-73.99254389,$245.00 
40.734912,-73.99230827,$160.00 
40.72760154,-74.00075407,$200.00 
40.73661298,-73.99556527,$649.00 
40.73007611,-74.00049567,$500.00 
40.73030702,-74.00071748,$265.00 
40.72822294,-74.00184639,$388.00 
40.7341821,-73.99302624,$999.00 
40.72771908,-73.99955979,$162.00 
40.73389108,-73.99334934,$800.00 
40.82076621,-73.94536256,$102.00 
40.81469131,-73.93985157,$140.00 
40.8085152,-73.94078061,$130.00 
40.80203242,-73.95382251,$80.00 
40.81744918,-73.93674373,$96.00 
40.82587226,-73.94346259,$240.00 
40.81623274,-73.94906668,$125.00 
40.80542299,-73.94550368,$90.00 
40.8047444,-73.9468792,$295.00 
40.82890593,-73.94330905,$113.00 
40.80093168,-73.95011918,$165.00 
40.81587995,-73.93984153,$500.00 
40.81788037,-73.93582538,$75.00 
40.82063655,-73.94645788,$105.00 
40.7999293,-73.95214322,$199.00 
40.82452515,-73.94923474,$155.00 
40.80468741,-73.94593633,"$1,000.00 "
40.80407051,-73.957625,$89.00 
40.82100908,-73.94582204,$98.00 
40.82476764,-73.95087349,$119.00 
40.82313216,-73.94412272,$179.00 
40.82143316,-73.95315343,$100.00 
40.80162614,-73.95412769,$145.00 
40.81617574,-73.94894195,$125.00 
40.81751891,-73.94161681,$76.00 
40.81918851,-73.9443045,$750.00 
40.82375924,-73.94492458,$95.00 
40.80337738,-73.95593945,$95.00 
40.82096938,-73.93765255,$130.00 
40.81302936,-73.94494229,$240.00 
40.81852034,-73.94702669,$250.00 
40.80540804,-73.95197728,$95.00 
40.76104736,-73.99821237,$213.00 
40.76207809,-73.99135218,$140.00 
40.76404198,-73.98772434,$360.00 
40.76209218,-73.990742,$200.00 
40.76714342,-73.98777101,$150.00 
40.76215428,-73.99140958,$449.00 
40.75678681,-73.99095801,$370.00 
40.75902458,-73.99111532,$100.00 
40.76036986,-73.99016419,$240.00 
40.76024143,-73.99286247,$204.00 
40.75985858,-73.9940471,$325.00 
40.75446848,-73.99357594,$245.00 
40.76316204,-73.98629244,$345.00 
40.76316837,-73.99053435,$250.00 
40.75695448,-73.99321526,$400.00 
40.75958332,-73.990503,$133.00 
40.76611542,-73.98903992,$169.00 
40.76346197,-73.99119412,$500.00 
40.76364045,-73.98979624,$170.00 
40.76233928,-73.98732475,$275.00 
40.7605218,-73.99114643,$860.00 
40.76234758,-73.99135276,$329.00 
40.75613177,-73.99760673,$150.00 
