latitude,longitude,room_type,price
40.78352201,-73.94816794,Shared room,$70.00 
40.7777504,-73.95360613,Shared room,$75.00 
40.77110636,-73.94749097,Shared room,$100.00 
40.80105874,-73.95945833,Shared room,$49.00 
40.85334837,-73.93215406,Shared room,$45.00 
40.71215995,-73.94985543,Shared room,$400.00 
40.69079355,-73.93343697,Shared room,$65.00 
40.68937355,-73.92259999,Shared room,$25.00 
40.6614947,-73.94278031,Shared room,$55.00 
40.6914334,-73.99240734,Shared room,"$1,000.00 "
40.6990189,-73.93101723,Shared room,$50.00 
40.73978315,-73.99629855,Shared room,$250.00 
40.67495303,-73.96269452,Shared room,$105.00 
40.79728617,-73.9475813,Shared room,$50.00 
40.78721713,-73.95203084,Shared room,$55.00 
40.79203164,-73.95013643,Shared room,$34.00 
40.79523416,-73.94762486,Shared room,$35.00 
40.72366832,-73.98130588,Shared room,$100.00 
40.69393645,-73.97115296,Shared room,$39.00 
40.77393459,-73.93047426,Shared room,$34.00 
40.68441153,-73.95099091,Shared room,$68.00 
40.80364701,-73.95510416,Shared room,$50.00 
40.80326288,-73.95797412,Shared room,$80.00 
40.80063288,-73.95313194,Shared room,$45.00 
40.76645649,-73.98703979,Shared room,$50.00 
40.75179798,-73.88008301,Shared room,$40.00 
40.74469655,-73.9759344,Shared room,$49.00 
40.76061876,-73.93039234,Shared room,$150.00 
40.70985485,-73.98723525,Shared room,$30.00 
40.71286095,-73.98848983,Shared room,$49.00 
40.74986528,-73.98664031,Shared room,$55.00 
40.71577122,-73.90224063,Shared room,$35.00 
40.81004889,-73.95990494,Shared room,$70.00 
40.80437271,-73.96387462,Shared room,$35.00 
40.66285355,-73.98240618,Shared room,$35.00 
40.77126142,-73.95482935,Shared room,$169.00 
40.79997319,-73.96529306,Shared room,$80.00 
40.77722181,-73.98064735,Shared room,$150.00 
40.70489233,-73.93690973,Shared room,$45.00 
40.68186019,-73.91188199,Shared room,$31.00 
40.68638928,-73.93115636,Shared room,$50.00 
40.68797396,-73.95258041,Shared room,$16.00 
40.69440892,-73.94273957,Shared room,$30.00 
40.60950839,-73.97641645,Shared room,$39.00 
40.66248927,-73.95800443,Shared room,$75.00 
40.70696419,-73.92204569,Shared room,$28.00 
40.69539369,-73.9285015,Shared room,$47.00 
40.6699057,-73.92196089,Shared room,$25.00 
40.79571275,-73.94827953,Shared room,$37.00 
40.70869681,-74.01310152,Shared room,$70.00 
40.64476065,-73.96473417,Shared room,$28.00 
40.63995181,-73.96195613,Shared room,$35.00 
40.58739564,-73.9671181,Shared room,$32.00 
40.81409374,-73.95293435,Shared room,$150.00 
40.81158342,-73.94011317,Shared room,$45.00 
40.76274688,-73.99314763,Shared room,$124.00 
40.75215967,-73.94099495,Shared room,$150.00 
40.72228188,-73.9958205,Shared room,$65.00 
40.58531256,-73.94473149,Shared room,$150.00 
40.66542895,-73.9869692,Shared room,$60.00 
40.78146594,-73.95287418,Shared room,$50.00 
40.76612055,-73.95188862,Shared room,$70.00 
40.78863617,-73.97452277,Shared room,$95.00 
40.65902379,-73.98231018,Shared room,$35.00 
40.83143542,-73.94113441,Shared room,$79.00 
40.83695382,-73.94124292,Shared room,$225.00 
40.71159935,-73.96774365,Shared room,$85.00 
40.69240219,-73.9604172,Shared room,$29.00 
40.68785738,-73.95375859,Shared room,$18.00 
40.68599955,-73.95285242,Shared room,$20.00 
40.68313074,-73.87077345,Shared room,$19.00 
40.76657719,-73.87722023,Shared room,$55.00 
40.79392083,-73.94093078,Shared room,$50.00 
40.86758804,-73.86852971,Shared room,$65.00 
40.58552007,-73.96645928,Shared room,$32.00 
40.73079805,-73.95393562,Shared room,$60.00 
40.72399698,-73.94508169,Shared room,$55.00 
40.82694827,-73.94674499,Shared room,$100.00 
40.76452268,-73.9915693,Shared room,$72.00 
40.75010003,-73.89044951,Shared room,$50.00 
40.71343404,-73.98724508,Shared room,$29.00 
40.71400913,-73.98917149,Shared room,$40.00 
40.72102438,-73.9857232,Shared room,$80.00 
40.58736308,-73.81444143,Shared room,$35.00 
40.78112482,-73.95213708,Shared room,$43.00 
40.78138909,-73.95261002,Shared room,$175.00 
40.78507708,-73.97877665,Shared room,$68.00 
40.79649572,-73.9629704,Shared room,$55.00 
40.73742667,-73.99896145,Shared room,$75.00 
40.69267258,-73.90708361,Shared room,$35.00 
40.73988316,-73.99926763,Shared room,$350.00 
40.57791276,-73.98469781,Shared room,$30.00 
40.73868565,-73.86519447,Shared room,$48.00 
40.65024419,-73.95051272,Shared room,$26.00 
40.64600646,-73.94885526,Shared room,$25.00 
40.79341781,-73.9405732,Shared room,$75.00 
40.72166328,-73.98326586,Shared room,$100.00 
40.64082959,-73.96435724,Shared room,$30.00 
40.75440335,-73.82866017,Shared room,$20.00 
40.76625882,-73.93053787,Shared room,$180.00 
40.69501622,-73.9471104,Shared room,$32.00 
40.63274391,-73.97179296,Shared room,$69.00 
40.8176882,-73.95381159,Shared room,$70.00 
40.82684668,-73.95368111,Shared room,$110.00 
40.75547362,-73.91866999,Shared room,$40.00 
40.74278523,-73.95783174,Shared room,$75.00 
40.75202185,-73.93587887,Shared room,$65.00 
40.75581147,-73.96929273,Shared room,$98.00 
40.71530506,-73.89987972,Shared room,$35.00 
40.59872326,-73.95429471,Shared room,$35.00 
40.58307042,-73.95824101,Shared room,$29.00 
40.78161997,-73.94750051,Shared room,$125.00 
40.77024142,-73.98746477,Shared room,$70.00 
40.77614814,-73.98054775,Shared room,$85.00 
40.83410477,-73.94023773,Shared room,$34.00 
40.83270056,-73.94027928,Shared room,$63.00 
40.84482882,-73.93900757,Shared room,$28.00 
40.85321991,-73.93217245,Shared room,$45.00 
40.7022312,-73.94248529,Shared room,$67.00 
40.71077337,-73.96259042,Shared room,$60.00 
40.70772177,-73.93752143,Shared room,$80.00 
40.71605105,-73.95180109,Shared room,$35.00 
40.69148238,-73.95882434,Shared room,$30.00 
40.68168718,-73.93019523,Shared room,$50.00 
40.67715499,-73.94542871,Shared room,$100.00 
40.6895037,-73.98236656,Shared room,$60.00 
40.6578016,-73.92333419,Shared room,$40.00 
40.78594382,-73.9443138,Shared room,$200.00 
40.79306833,-73.95138084,Shared room,$55.00 
40.79187704,-73.9451386,Shared room,$94.00 
40.76778844,-73.8278751,Shared room,$20.00 
40.68289881,-73.97204633,Shared room,$120.00 
40.77069733,-73.92532883,Shared room,$70.00 
40.73066696,-73.99831705,Shared room,$125.00 
40.80698884,-73.94227127,Shared room,$95.00 
40.76389075,-73.99071743,Shared room,$85.00 
40.76646214,-73.99344571,Shared room,$65.00 
40.75418455,-73.88586413,Shared room,$90.00 
40.74394805,-73.98059495,Shared room,$49.00 
40.74411023,-73.98011283,Shared room,$65.00 
40.74658864,-73.97499065,Shared room,$150.00 
40.744048,-73.94361543,Shared room,$49.00 
40.80265244,-73.96299566,Shared room,$50.00 
40.6081018,-73.95598553,Shared room,$65.00 
40.70490303,-73.76767319,Shared room,$63.00 
40.74343917,-73.90792807,Shared room,$35.00 
40.76781235,-73.9548837,Shared room,$65.00 
40.80166371,-73.96540229,Shared room,$70.00 
40.79952806,-73.95930717,Shared room,$49.00 
40.68286705,-73.98133893,Shared room,$80.00 
40.68472899,-73.97862807,Shared room,$47.00 
